"YEAR(YEAR)","Measure Names","Measure Values"
2015-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",3.245454545454545
2015-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",3.366
2015-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",3.0260000000000002
2016-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.9299999999999997
2016-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",3.3441666666666667
2016-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.9658333333333333
2017-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.9258333333333333
2017-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",3.1975
2017-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.8341666666666665
2018-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.4899999999999998
2018-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.813333333333333
2018-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.5258333333333334
2019-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.535833333333333
2019-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.9441666666666664
2019-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.8808333333333334
2020-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.9181818181818184
2020-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.786363636363636
2020-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.300909090909091
2021-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.265
2021-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.6636363636363636
2021-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.2954545454545454
2022-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.4225
2022-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.841666666666667
2022-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.3833333333333333
2023-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.4941666666666666
2023-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.785833333333333
2023-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.3125
2024-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.731666666666667
2024-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.8683333333333336
2024-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.4883333333333333
2025-01-01 00:00:00,"Avg. of AVG_SEAT_COMFORT",2.68
2025-01-01 00:00:00,"Avg. of AVG_INFLIGHT_ENTERTAINMENT",2.65375
2025-01-01 00:00:00,"Avg. of AVG_FOOD_AND_BEVERAGES",2.23625
