"QUARTER(QUARTER_START)","RATING_BAND","Measure Values"
2015-01-01 00:00:00,"good",2
2015-04-01 00:00:00,"bad",6
2015-04-01 00:00:00,"good",19
2015-04-01 00:00:00,"medium",9
2015-07-01 00:00:00,"bad",32
2015-07-01 00:00:00,"good",26
2015-07-01 00:00:00,"medium",39
2015-10-01 00:00:00,"bad",31
2015-10-01 00:00:00,"good",25
2015-10-01 00:00:00,"medium",44
2016-01-01 00:00:00,"bad",19
2016-01-01 00:00:00,"good",17
2016-01-01 00:00:00,"medium",30
2016-04-01 00:00:00,"bad",15
2016-04-01 00:00:00,"good",14
2016-04-01 00:00:00,"medium",17
2016-07-01 00:00:00,"bad",23
2016-07-01 00:00:00,"good",20
2016-07-01 00:00:00,"medium",19
2016-10-01 00:00:00,"bad",15
2016-10-01 00:00:00,"good",20
2016-10-01 00:00:00,"medium",15
2017-01-01 00:00:00,"bad",17
2017-01-01 00:00:00,"good",10
2017-01-01 00:00:00,"medium",15
2017-04-01 00:00:00,"bad",16
2017-04-01 00:00:00,"good",19
2017-04-01 00:00:00,"medium",22
2017-07-01 00:00:00,"bad",22
2017-07-01 00:00:00,"good",14
2017-07-01 00:00:00,"medium",29
2017-10-01 00:00:00,"bad",22
2017-10-01 00:00:00,"good",14
2017-10-01 00:00:00,"medium",28
2018-01-01 00:00:00,"bad",26
2018-01-01 00:00:00,"good",15
2018-01-01 00:00:00,"medium",17
2018-04-01 00:00:00,"bad",42
2018-04-01 00:00:00,"good",22
2018-04-01 00:00:00,"medium",40
2018-07-01 00:00:00,"bad",44
2018-07-01 00:00:00,"good",13
2018-07-01 00:00:00,"medium",30
2018-10-01 00:00:00,"bad",50
2018-10-01 00:00:00,"good",14
2018-10-01 00:00:00,"medium",28
2019-01-01 00:00:00,"bad",34
2019-01-01 00:00:00,"good",16
2019-01-01 00:00:00,"medium",32
2019-04-01 00:00:00,"bad",41
2019-04-01 00:00:00,"good",21
2019-04-01 00:00:00,"medium",40
2019-07-01 00:00:00,"bad",45
2019-07-01 00:00:00,"good",23
2019-07-01 00:00:00,"medium",34
2019-10-01 00:00:00,"bad",29
2019-10-01 00:00:00,"good",23
2019-10-01 00:00:00,"medium",28
2020-01-01 00:00:00,"bad",18
2020-01-01 00:00:00,"good",15
2020-01-01 00:00:00,"medium",18
2020-04-01 00:00:00,"bad",7
2020-04-01 00:00:00,"good",1
2020-04-01 00:00:00,"medium",5
2020-07-01 00:00:00,"bad",11
2020-07-01 00:00:00,"good",5
2020-07-01 00:00:00,"medium",3
2020-10-01 00:00:00,"bad",8
2020-10-01 00:00:00,"good",5
2020-10-01 00:00:00,"medium",8
2021-01-01 00:00:00,"bad",10
2021-01-01 00:00:00,"good",2
2021-01-01 00:00:00,"medium",3
2021-04-01 00:00:00,"bad",51
2021-04-01 00:00:00,"good",14
2021-04-01 00:00:00,"medium",22
2021-07-01 00:00:00,"bad",64
2021-07-01 00:00:00,"good",11
2021-07-01 00:00:00,"medium",48
2021-10-01 00:00:00,"bad",43
2021-10-01 00:00:00,"good",13
2021-10-01 00:00:00,"medium",33
2022-01-01 00:00:00,"bad",54
2022-01-01 00:00:00,"good",12
2022-01-01 00:00:00,"medium",43
2022-04-01 00:00:00,"Unknown",1
2022-04-01 00:00:00,"bad",88
2022-04-01 00:00:00,"good",15
2022-04-01 00:00:00,"medium",44
2022-07-01 00:00:00,"bad",45
2022-07-01 00:00:00,"good",21
2022-07-01 00:00:00,"medium",44
2022-10-01 00:00:00,"bad",41
2022-10-01 00:00:00,"good",23
2022-10-01 00:00:00,"medium",26
2023-01-01 00:00:00,"bad",33
2023-01-01 00:00:00,"good",10
2023-01-01 00:00:00,"medium",22
2023-04-01 00:00:00,"bad",50
2023-04-01 00:00:00,"good",20
2023-04-01 00:00:00,"medium",30
2023-07-01 00:00:00,"bad",41
2023-07-01 00:00:00,"good",12
2023-07-01 00:00:00,"medium",31
2023-10-01 00:00:00,"bad",22
2023-10-01 00:00:00,"good",8
2023-10-01 00:00:00,"medium",7
2024-01-01 00:00:00,"bad",17
2024-01-01 00:00:00,"good",8
2024-01-01 00:00:00,"medium",7
2024-04-01 00:00:00,"bad",21
2024-04-01 00:00:00,"good",6
2024-04-01 00:00:00,"medium",17
2024-07-01 00:00:00,"bad",25
2024-07-01 00:00:00,"good",2
2024-07-01 00:00:00,"medium",14
2024-10-01 00:00:00,"bad",15
2024-10-01 00:00:00,"good",7
2024-10-01 00:00:00,"medium",15
2025-01-01 00:00:00,"bad",9
2025-01-01 00:00:00,"good",4
2025-01-01 00:00:00,"medium",7
2025-04-01 00:00:00,"bad",16
2025-04-01 00:00:00,"good",2
2025-04-01 00:00:00,"medium",10
2025-07-01 00:00:00,"bad",5
2025-07-01 00:00:00,"good",5
2025-07-01 00:00:00,"medium",2
