"YEAR(YEAR)","Measure Names","Measure Values"
2015-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",3.413636363636364
2015-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",3.663636363636364
2016-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.8841666666666668
2016-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",3.3333333333333335
2017-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.5241666666666664
2017-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",3.044166666666667
2018-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.1491666666666664
2018-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.671666666666667
2019-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.3491666666666666
2019-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.9783333333333335
2020-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.7066666666666666
2020-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",3.022727272727273
2021-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",1.9358333333333333
2021-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.4499999999999997
2022-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.0575
2022-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.6741666666666664
2023-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.205833333333333
2023-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.7675
2024-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.3975
2024-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.6991666666666667
2025-01-01 00:00:00,"Avg. of AVG_GROUND_SERVICE",2.185
2025-01-01 00:00:00,"Avg. of AVG_CABIN_STAFF_SERVICE",2.925
