"YEAR(YEAR)","Measure Names","TOTAL_REVIEWS","Avg. of PCT_RECOMMENDED"
2015-01-01 00:00:00,"TOTAL_REVIEWS",233,
2016-01-01 00:00:00,"TOTAL_REVIEWS",224,
2017-01-01 00:00:00,"TOTAL_REVIEWS",228,
2018-01-01 00:00:00,"TOTAL_REVIEWS",341,
2019-01-01 00:00:00,"TOTAL_REVIEWS",366,
2020-01-01 00:00:00,"TOTAL_REVIEWS",104,
2021-01-01 00:00:00,"TOTAL_REVIEWS",314,
2022-01-01 00:00:00,"TOTAL_REVIEWS",457,
2023-01-01 00:00:00,"TOTAL_REVIEWS",286,
2024-01-01 00:00:00,"TOTAL_REVIEWS",154,
2025-01-01 00:00:00,"TOTAL_REVIEWS",60,
2015-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,66.74545454545455
2016-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,45.875
2017-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,37.949999999999996
2018-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,24.049999999999997
2019-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,28.658333333333335
2020-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,29.674999999999997
2021-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,17.166666666666668
2022-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,20.625
2023-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,24.099999999999998
2024-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,27.708333333333332
2025-01-01 00:00:00,"Avg. of PCT_RECOMMENDED",,21.4625
